player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Isaiah Hartenstein,1,27.0,20.6,5.9,6.5,1.4,0.9,1.0,0.589,0.593,0.9
Isaiah Jackson,2,19.0,14.6,7.5,4.5,1.0,0.6,1.5,0.67,0.67,0.5
Isaiah Joe,1,26.0,20.5,9.7,2.3,1.1,0.8,0.3,0.441,0.608,0.5
Isaiah Livers,0,14.0,19.9,4.4,2.2,1.1,0.6,0.1,0.273,0.351,0.8
Isaiah Mobley,0,3.0,4.7,1.7,0.7,1.3,0.3,0.0,0.5,0.625,0.3
Isaiah Stewart,1,26.0,30.4,10.1,7.0,1.5,0.3,0.6,0.46,0.54,1.7
Ish Smith,1,20.0,16.2,3.6,1.4,2.8,0.4,0.1,0.53,0.545,1.3
Ish Wainright,0,2.0,2.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Ivica Zubac,2,28.0,26.5,12.0,9.1,1.1,0.2,1.4,0.629,0.629,1.1
JT Thor,0,23.0,15.7,3.2,2.5,0.4,0.3,0.4,0.372,0.449,0.3
Ja Morant,10,2.0,34.5,27.0,5.5,8.0,1.0,0.5,0.475,0.488,3.5
JaVale McGee,1,24.0,8.8,4.7,3.0,0.4,0.2,0.6,0.671,0.671,1.0
Jabari Smith Jr.,1,26.0,30.4,13.5,8.8,1.7,0.5,0.8,0.487,0.565,1.2
Jabari Walker,1,27.0,17.8,7.3,5.1,0.7,0.7,0.4,0.465,0.509,0.9
Jacob Gilyard,0,19.0,15.7,3.7,1.1,3.1,0.6,0.1,0.414,0.595,0.7
Jacob Toppin,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0
Jaden Hardy,1,24.0,13.7,7.0,1.7,1.6,0.3,0.0,0.37,0.455,0.7
Jaden Ivey,4,24.0,24.6,12.1,3.1,2.9,0.8,0.5,0.458,0.507,2.0
Jaden McDaniels,1,17.0,25.5,10.5,2.3,1.2,0.5,0.5,0.567,0.634,1.0
Jaden Springer,0,17.0,10.0,3.6,1.5,1.0,0.6,0.4,0.379,0.422,0.9
Jae Crowder,0,9.0,26.7,8.1,3.9,1.7,0.8,0.3,0.532,0.702,0.4
Jae'Sean Tate,1,24.0,17.8,4.9,3.6,1.1,0.8,0.3,0.47,0.54,0.5
Jaime Jaquez Jr.,0,29.0,28.6,13.1,3.7,2.6,1.0,0.3,0.505,0.56,1.7
Jake LaRavia,0,8.0,12.4,3.3,1.4,0.6,0.1,0.0,0.344,0.391,0.5
Jakob Poeltl,1,28.0,26.1,10.9,8.1,2.3,0.7,1.1,0.715,0.715,1.6
Jalen Brunson,16,27.0,35.5,25.3,4.0,5.9,1.1,0.1,0.472,0.552,2.3
Jalen Duren,1,14.0,28.9,12.6,10.9,2.5,0.6,1.4,0.63,0.63,2.7
Jalen Green,11,26.0,30.8,17.4,4.5,3.2,0.5,0.4,0.399,0.468,2.3
Jalen Hood-Schifino,0,5.0,10.4,2.8,1.2,0.8,0.0,0.2,0.222,0.25,0.8
